municipality,oevk,no_votes18,opp_18,fidesz_18,jobbik18,m_type,no_votes22,fidesz22,opp_alliance22,mi_hazank22,opp_affiliation22,opp_won22,opp22is_jobbik18,mihazank22is_jobbik18,jobbik18on_mihazank22list,jobbik18on_opp22list,jobbik18on_preelection
Drávasztára,Baranya megye 4. számú egyéni választókerület,204,79,113,52,Falu,172,136,29,5,DK,0,0,0,0,0,0
Drávatamási,Somogy megye 2. számú egyéni választókerület,119,38,81,33,Falu,109,81,25,3,JOBBIK,0,1,0,0,1,1
Drégelypalánk,Nógrád megye 2. számú egyéni választókerület,701,252,437,174,Falu,692,468,110,91,MOMENTUM,0,0,0,0,0,0
Dubicsány,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,173,112,59,96,Falu,168,63,69,18,MSZP,0,0,0,0,0,1
Dudar,Veszprém megye 1. számú egyéni választókerület,886,153,497,135,Falu,911,561,259,67,DK,0,0,0,0,0,0
Duka,Vas megye 3. számú egyéni választókerület,123,38,84,19,Falu,143,103,32,6,LMP,0,0,0,0,0,1
Dunaalmás,Komárom-Esztergom megye 3. számú egyéni választókerület,804,388,404,219,Falu,897,484,273,70,MSZP,0,0,0,0,0,0
Dunabogdány,Pest megye 3. számú egyéni választókerület,1857,616,1125,313,Falu,1928,1330,423,74,MOMENTUM,0,0,0,0,0,1
Dunaegyháza,Bács-Kiskun megye 3. számú egyéni választókerület,709,346,354,268,Falu,695,359,250,69,DK,0,0,0,0,0,0
Dunafalva,Bács-Kiskun megye 6. számú egyéni választókerület,487,164,313,74,Falu,472,319,104,38,MOMENTUM,0,0,0,0,0,0
Dunaföldvár,Tolna megye 3. számú egyéni választókerület,4421,1955,2344,1272,Kisváros,4334,2528,1308,354,JOBBIK,0,1,0,0,1,1
Dunaharaszti,Pest megye 11. számú egyéni választókerület,12002,6686,5144,3567,Középváros,13013,6127,5264,710,DK,0,0,0,0,0,0
Dunakeszi,Pest megye 5. számú egyéni választókerület,27006,15280,11367,3611,Középváros,26806,12149,11806,1112,PÁRBESZÉD,0,0,0,0,1,0
Dunakiliti,Győr-Moson-Sopron megye 5. számú egyéni választókerület,924,381,513,267,Falu,968,638,249,36,JOBBIK,0,0,0,0,0,0
Dunapataj,Bács-Kiskun megye 3. számú egyéni választókerület,1650,838,791,536,Falu,1644,960,518,87,DK,0,0,0,0,0,0
Dunaremete,Győr-Moson-Sopron megye 5. számú egyéni választókerület,147,50,89,37,Falu,169,101,48,9,JOBBIK,0,0,0,0,0,0
Dunaszeg,Győr-Moson-Sopron megye 5. számú egyéni választókerület,1162,441,657,278,Falu,1336,784,377,90,JOBBIK,0,0,0,0,0,0
Dunaszekcső,Baranya megye 3. számú egyéni választókerület,889,304,570,189,Falu,849,571,200,58,JOBBIK,0,0,0,0,0,0
Dunaszentbenedek,Bács-Kiskun megye 3. számú egyéni választókerület,389,127,256,85,Falu,373,247,72,29,DK,0,0,0,0,0,0
Dunaszentgyörgy,Tolna megye 3. számú egyéni választókerület,1376,466,893,288,Falu,1370,951,277,113,JOBBIK,0,1,0,0,1,1
Dunaszentmiklós,Komárom-Esztergom megye 3. számú egyéni választókerület,281,100,172,49,Falu,286,183,77,14,MSZP,0,0,0,0,0,0
Dunaszentpál,Győr-Moson-Sopron megye 5. számú egyéni választókerület,409,180,200,116,Falu,414,235,131,23,JOBBIK,0,0,0,0,0,0
Dunasziget,Győr-Moson-Sopron megye 5. számú egyéni választókerület,851,294,530,203,Falu,901,614,220,28,JOBBIK,0,0,0,0,0,0
Dunatetétlen,Bács-Kiskun megye 3. számú egyéni választókerület,264,109,151,80,Falu,288,206,65,12,DK,0,0,0,0,0,0
Dunaújváros,Fejér megye 4. számú egyéni választókerület,27776,17344,9895,12860,Középváros,24879,9977,12555,1131,JOBBIK,0,0,0,0,0,0
Dunavarsány,Pest megye 8. számú egyéni választókerület,4267,2259,1938,1077,Kisváros,4589,2244,1847,258,DK,0,0,0,0,0,0
Dunavecse,Bács-Kiskun megye 3. számú egyéni választókerület,1798,859,916,590,Falu,1813,1121,540,94,DK,0,0,0,0,0,0
Dusnok,Bács-Kiskun megye 6. számú egyéni választókerület,1629,528,1083,309,Falu,1622,1118,301,152,MOMENTUM,0,0,0,0,0,0
Dúzs,Tolna megye 2. számú egyéni választókerület,120,41,75,24,Falu,112,70,31,7,DK,0,0,0,0,0,0
Ebergőc,Győr-Moson-Sopron megye 4. számú egyéni választókerület,95,32,60,12,Falu,93,73,16,4,JOBBIK,0,1,0,0,1,1
Ebes,Hajdú-Bihar megye 5. számú egyéni választókerület,2484,1156,1266,676,Falu,2550,1444,841,209,MOMENTUM,0,0,0,0,0,0
Écs,Győr-Moson-Sopron megye 2. számú egyéni választókerület,1179,377,793,242,Falu,1248,835,292,94,DK,0,0,0,0,0,0
Ecséd,Heves megye 3. számú egyéni választókerület,1673,767,886,548,Falu,1661,1029,448,152,MSZP,0,0,0,0,0,0
Ecseg,Nógrád megye 1. számú egyéni választókerület,565,181,371,103,Falu,536,371,126,27,DK,0,0,0,0,1,0
Ecsegfalva,Békés megye 2. számú egyéni választókerület,589,252,318,178,Falu,504,344,124,26,DK,0,0,0,0,0,0
Ecseny,Somogy megye 4. számú egyéni választókerület,111,17,94,12,Falu,108,96,11,0,JOBBIK,0,1,0,0,1,1
Ecser,Pest megye 7. számú egyéni választókerület,2272,1194,997,626,Falu,2415,1148,948,149,JOBBIK,0,0,0,0,1,0
Edde,Somogy megye 3. számú egyéni választókerület,86,20,64,17,Falu,87,72,10,2,JOBBIK,0,1,0,0,1,1
Edelény,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,5125,2149,2877,1362,Kisváros,4835,2934,1250,507,JOBBIK,0,0,0,0,0,0
Edve,Győr-Moson-Sopron megye 3. számú egyéni választókerület,80,38,42,28,Falu,82,62,15,3,MSZP,0,0,0,0,1,1
Eger,Heves megye 1. számú egyéni választókerület,33395,18162,13624,14257,Nagyváros,31457,14289,13441,2201,DK,0,0,0,0,0,0
Egerág,Baranya megye 3. számú egyéni választókerület,545,295,236,196,Falu,537,288,185,47,JOBBIK,0,0,0,0,0,0
Egeralja,Veszprém megye 4. számú egyéni választókerület,148,33,114,22,Falu,149,126,20,1,MSZP,0,0,0,0,0,0
Egeraracsa,Zala megye 2. számú egyéni választókerület,169,46,120,28,Falu,154,113,32,5,MOMENTUM,0,0,0,0,0,0
Egerbakta,Heves megye 1. számú egyéni választókerület,729,195,503,141,Falu,790,596,131,33,DK,0,0,0,0,0,0
Egerbocs,Heves megye 2. számú egyéni választókerület,296,126,163,90,Falu,318,200,63,45,JOBBIK,0,0,0,0,0,0
Egercsehi,Heves megye 2. számú egyéni választókerület,588,303,270,224,Falu,608,368,172,46,JOBBIK,0,0,0,0,0,0
Egerfarmos,Heves megye 1. számú egyéni választókerület,325,130,186,102,Falu,317,194,91,19,DK,0,0,0,0,0,0
Egerlövő,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,315,87,222,75,Falu,324,236,55,19,MSZP,0,0,0,0,0,0
Egerszalók,Heves megye 1. számú egyéni választókerület,1115,445,623,363,Falu,1122,625,383,69,DK,0,0,0,0,0,0
Égerszög,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,38,16,22,16,Falu,40,24,8,6,MSZP,0,0,0,0,0,1
Egerszólát,Heves megye 1. számú egyéni választókerület,656,328,286,282,Falu,639,313,230,67,DK,0,0,0,0,0,0
Egervár,Zala megye 2. számú egyéni választókerület,577,182,384,123,Falu,626,441,126,38,MOMENTUM,0,0,0,0,0,0
Egervölgy,Vas megye 3. számú egyéni választókerület,202,62,138,47,Falu,203,151,42,5,LMP,0,0,0,0,0,1
Egyed,Győr-Moson-Sopron megye 3. számú egyéni választókerület,316,121,191,79,Falu,302,215,57,24,MSZP,0,0,0,0,1,1
Egyek,Hajdú-Bihar megye 5. számú egyéni választókerület,2134,792,1307,533,Kisváros,2152,1511,476,146,MOMENTUM,0,0,0,0,0,0
Egyházasdengeleg,Nógrád megye 1. számú egyéni választókerület,250,91,152,44,Falu,244,134,80,24,DK,0,0,0,0,1,0
Egyházasfalu,Győr-Moson-Sopron megye 4. számú egyéni választókerület,524,156,364,85,Falu,520,392,95,27,JOBBIK,0,1,0,0,1,1
Egyházasgerge,Nógrád megye 2. számú egyéni választókerület,332,106,217,68,Falu,344,255,61,16,MOMENTUM,0,0,0,0,0,0
Egyházasharaszti,Baranya megye 3. számú egyéni választókerület,147,31,111,20,Falu,146,122,17,3,JOBBIK,0,0,0,0,0,0
Egyházashetye,Vas megye 3. számú egyéni választókerület,169,34,133,22,Falu,187,143,25,16,LMP,0,0,0,0,0,1
Egyházashollós,Vas megye 3. számú egyéni választókerület,307,52,251,43,Falu,336,266,48,17,LMP,0,0,0,0,0,1
Egyházaskesző,Veszprém megye 4. számú egyéni választókerület,214,70,141,41,Falu,256,202,40,13,MSZP,0,0,0,0,0,0
Egyházaskozár,Baranya megye 3. számú egyéni választókerület,420,235,166,137,Falu,365,156,152,45,JOBBIK,0,0,0,0,0,0
Egyházasrádóc,Vas megye 3. számú egyéni választókerület,799,253,536,178,Falu,856,620,184,44,LMP,0,0,0,0,0,1
Elek,Békés megye 3. számú egyéni választókerület,2171,1119,998,379,Falu,2061,1403,503,92,DK,0,0,0,0,0,0
Ellend,Baranya megye 2. számú egyéni választókerület,129,48,75,16,Falu,104,59,30,8,MSZP,0,0,0,0,1,0
Előszállás,Fejér megye 5. számú egyéni választókerület,1128,512,577,372,Falu,1149,747,251,101,DK,0,0,0,1,0,0
Emőd,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,2361,1082,1230,818,Kisváros,2310,1358,628,188,MSZP,0,0,0,0,0,0
Encs,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,3211,1466,1540,1154,Kisváros,3059,1929,873,160,JOBBIK,0,0,0,0,0,0
Encsencs,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,850,258,585,119,Falu,812,680,107,19,JOBBIK,0,0,0,0,0,0
Endrefalva,Nógrád megye 2. számú egyéni választókerület,474,99,353,46,Falu,487,421,46,4,MOMENTUM,0,0,0,0,0,0
Endrőc,Baranya megye 4. számú egyéni választókerület,187,84,99,19,Falu,167,127,30,8,DK,0,0,0,0,0,0
Enese,Győr-Moson-Sopron megye 3. számú egyéni választókerület,982,340,632,208,Falu,1030,731,234,47,MSZP,0,0,0,0,1,1
Enying,Fejér megye 5. számú egyéni választókerület,3258,1399,1731,1156,Kisváros,3169,1913,800,339,DK,0,0,0,1,0,0
Eperjes,Csongrád megye 3. számú egyéni választókerület,256,114,136,91,Falu,251,173,52,18,JOBBIK,0,0,0,0,0,0
Eperjeske,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,496,154,334,119,Falu,477,351,104,19,DK,0,0,0,0,0,0
Eplény,Veszprém megye 1. számú egyéni választókerület,322,49,196,38,Falu,350,211,104,21,DK,0,0,0,0,0,0
Epöl,Komárom-Esztergom megye 2. számú egyéni választókerület,372,107,258,75,Falu,372,247,78,27,JOBBIK,0,1,0,0,1,1
Ercsi,Fejér megye 4. számú egyéni választókerület,4033,1884,2087,1323,Kisváros,4137,2485,1257,233,JOBBIK,0,0,0,0,0,0
Érd,Pest megye 1. számú egyéni választókerület,40155,21427,17762,5154,Nagyváros,42428,19248,18292,2026,DK,0,0,0,0,0,0
Erdőbénye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,558,249,296,132,Falu,516,335,120,38,JOBBIK,0,0,0,0,0,0
Erdőhorváti,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,291,146,134,75,Falu,266,164,73,24,JOBBIK,0,0,0,0,0,0
Erdőkertes,Pest megye 5. számú egyéni választókerület,4074,2095,1894,762,Kisváros,4733,2494,1685,263,PÁRBESZÉD,0,0,0,0,1,0
Erdőkövesd,Heves megye 2. számú egyéni választókerület,329,133,196,112,Falu,312,211,82,15,JOBBIK,0,0,0,0,0,0
Erdőkürt,Nógrád megye 2. számú egyéni választókerület,294,111,176,77,Falu,319,199,75,27,MOMENTUM,0,0,0,0,0,0
Erdősmárok,Baranya megye 3. számú egyéni választókerület,48,8,38,5,Falu,42,35,5,1,JOBBIK,0,0,0,0,0,0
Erdősmecske,Baranya megye 3. számú egyéni választókerület,176,50,123,38,Falu,174,137,26,9,JOBBIK,0,0,0,0,0,0
Erdőtarcsa,Nógrád megye 2. számú egyéni választókerület,257,86,168,61,Falu,265,197,41,25,MOMENTUM,0,0,0,0,0,0
Erdőtelek,Heves megye 3. számú egyéni választókerület,1487,535,941,354,Falu,1399,991,312,76,MSZP,0,0,0,0,0,0
Erk,Heves megye 3. számú egyéni választókerület,369,80,282,43,Falu,313,263,42,8,MSZP,0,0,0,0,0,0
Érpatak,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,809,255,544,143,Falu,816,610,156,33,JOBBIK,0,0,0,0,0,0
Érsekcsanád,Bács-Kiskun megye 6. számú egyéni választókerület,1368,519,818,261,Falu,1401,898,356,119,MOMENTUM,0,0,0,0,0,0
Érsekhalma,Bács-Kiskun megye 6. számú egyéni választókerület,297,147,141,73,Falu,290,157,97,22,MOMENTUM,0,0,0,0,0,0
Érsekvadkert,Nógrád megye 2. számú egyéni választókerület,1875,723,1123,517,Falu,1830,1181,378,198,MOMENTUM,0,0,0,0,0,0
Értény,Tolna megye 2. számú egyéni választókerület,299,58,234,40,Falu,304,257,24,21,DK,0,0,0,0,0,0
Erzsébet,Baranya megye 3. számú egyéni választókerület,152,66,82,44,Falu,138,83,34,18,JOBBIK,0,0,0,0,0,0
Esztár,Hajdú-Bihar megye 4. számú egyéni választókerület,669,246,414,162,Falu,671,526,98,19,MOMENTUM,0,0,0,0,0,0
Eszteregnye,Zala megye 3. számú egyéni választókerület,390,169,215,127,Falu,398,227,124,30,DK,0,0,0,0,0,0
Esztergályhorváti,Zala megye 2. számú egyéni választókerület,191,63,126,31,Falu,202,128,48,20,MOMENTUM,0,0,0,0,0,0
Esztergom,Komárom-Esztergom megye 2. számú egyéni választókerület,17620,8553,8016,5684,Középváros,16738,8510,6466,797,JOBBIK,0,1,0,0,1,1
Ete,Komárom-Esztergom megye 3. számú egyéni választókerület,355,94,255,70,Falu,358,244,73,23,MSZP,0,0,0,0,0,0
Etes,Nógrád megye 2. számú egyéni választókerület,624,252,359,151,Falu,552,359,126,46,MOMENTUM,0,0,0,0,0,0
Etyek,Fejér megye 3. számú egyéni választókerület,2281,1185,1074,516,Falu,2572,1491,873,105,DK,0,0,0,0,1,0
Fábiánháza,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,745,171,567,127,Falu,743,598,91,33,JOBBIK,0,0,0,0,0,0
Fábiánsebestyén,Csongrád megye 3. számú egyéni választókerület,1092,507,559,448,Falu,1076,605,321,107,JOBBIK,0,0,0,0,0,0
Fácánkert,Tolna megye 1. számú egyéni választókerület,339,113,219,27,Falu,363,246,92,17,MSZP,0,0,0,0,0,0
Fadd,Tolna megye 1. számú egyéni választókerület,1892,720,1119,233,Falu,2029,1329,529,116,MSZP,0,0,0,0,0,0
Fáj,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,217,2,211,0,Falu,213,213,0,0,JOBBIK,0,0,0,0,0,0
Fajsz,Bács-Kiskun megye 6. számú egyéni választókerület,862,341,499,212,Falu,826,514,218,62,MOMENTUM,0,0,0,0,0,0
Fancsal,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,201,105,91,72,Falu,176,102,59,12,JOBBIK,0,0,0,0,0,0
Farád,Győr-Moson-Sopron megye 3. számú egyéni választókerület,1159,324,831,214,Falu,1202,931,210,48,MSZP,0,0,0,0,1,1
Farkasgyepű,Veszprém megye 4. számú egyéni választókerület,230,95,132,59,Falu,230,131,79,11,MSZP,0,0,0,0,0,0
Farkaslyuk,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,475,188,236,131,Falu,663,482,152,10,MSZP,0,0,0,0,0,1
Farmos,Pest megye 9. számú egyéni választókerület,1670,745,768,607,Falu,1702,978,498,140,LMP,0,0,0,0,0,0
Fazekasboda,Baranya megye 3. számú egyéni választókerület,107,33,71,27,Falu,99,74,18,6,JOBBIK,0,0,0,0,0,0
Fedémes,Heves megye 2. számú egyéni választókerület,200,65,132,55,Falu,183,139,35,8,JOBBIK,0,0,0,0,0,0
Fegyvernek,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,2944,1478,1419,1250,Kisváros,2770,1541,971,226,JOBBIK,0,1,0,0,1,1
Fehérgyarmat,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,4426,2170,2102,1249,Kisváros,4130,2427,1403,206,DK,0,0,0,0,0,0
Fehértó,Győr-Moson-Sopron megye 3. számú egyéni választókerület,267,104,162,73,Falu,257,164,56,30,MSZP,0,0,0,0,1,1
Fehérvárcsurgó,Fejér megye 2. számú egyéni választókerület,1166,482,653,338,Falu,1200,709,322,106,JOBBIK,0,1,0,0,1,1
Feked,Baranya megye 3. számú egyéni választókerület,118,53,60,32,Falu,127,73,46,5,JOBBIK,0,0,0,0,0,0
Feketeerdő,Győr-Moson-Sopron megye 5. számú egyéni választókerület,318,129,183,95,Falu,340,182,119,21,JOBBIK,0,0,0,0,0,0
Felcsút,Fejér megye 3. számú egyéni választókerület,1179,357,816,160,Falu,1146,813,230,44,DK,0,0,0,0,1,0
Feldebrő,Heves megye 2. számú egyéni választókerület,520,292,214,249,Falu,498,306,136,38,JOBBIK,0,0,0,0,0,0
Felgyő,Csongrád megye 3. számú egyéni választókerület,655,245,395,196,Falu,645,390,146,92,JOBBIK,0,0,0,0,0,0
Felpéc,Győr-Moson-Sopron megye 2. számú egyéni választókerület,520,186,325,127,Falu,549,357,142,32,DK,0,0,0,0,0,0
Felsőberecki,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,127,49,76,36,Falu,126,85,28,8,JOBBIK,0,0,0,0,0,0
Felsőcsatár,Vas megye 1. számú egyéni választókerület,276,84,191,27,Falu,293,191,67,22,DK,0,0,0,0,1,0
Felsődobsza,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,371,156,194,115,Falu,329,239,68,13,JOBBIK,0,0,0,0,0,0
Felsőegerszeg,Baranya megye 4. számú egyéni választókerület,76,17,56,8,Falu,69,51,13,2,DK,0,0,0,0,0,0
Felsőgagy,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,55,17,24,6,Falu,87,70,9,3,JOBBIK,0,0,0,0,0,0
Felsőjánosfa,Vas megye 3. számú egyéni választókerület,129,39,90,29,Falu,134,100,24,9,LMP,0,0,0,0,0,1
Felsőkelecsény,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,170,91,67,68,Falu,196,109,37,5,MSZP,0,0,0,0,0,1
Felsőlajos,Bács-Kiskun megye 1. számú egyéni választókerület,507,182,320,126,Falu,525,358,107,36,DK,0,0,0,0,0,1
Felsőmarác,Vas megye 3. számú egyéni választókerület,147,48,98,38,Falu,162,102,51,8,LMP,0,0,0,0,0,1
Felsőmocsolád,Somogy megye 4. számú egyéni választókerület,193,52,140,26,Falu,160,117,38,0,JOBBIK,0,1,0,0,1,1
Felsőnána,Tolna megye 2. számú egyéni választókerület,326,127,191,89,Falu,353,243,82,20,DK,0,0,0,0,0,0
Felsőnyárád,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,522,301,195,181,Falu,488,186,98,25,MSZP,0,0,0,0,0,1
Felsőnyék,Tolna megye 3. számú egyéni választókerület,468,97,366,60,Falu,486,372,86,27,JOBBIK,0,1,0,0,1,1
Felsőörs,Veszprém megye 2. számú egyéni választókerület,1010,395,587,300,Falu,1150,605,373,88,DK,0,0,0,0,0,0
Felsőpáhok,Zala megye 2. számú egyéni választókerület,366,145,217,101,Falu,386,251,99,25,MOMENTUM,0,0,0,0,0,0
Felsőpakony,Pest megye 7. számú egyéni választókerület,1901,890,946,550,Falu,2058,1136,608,157,JOBBIK,0,0,0,0,1,0
Felsőpetény,Nógrád megye 2. számú egyéni választókerület,374,99,268,72,Falu,353,256,52,29,MOMENTUM,0,0,0,0,0,0
Felsőrajk,Zala megye 2. számú egyéni választókerület,391,144,234,93,Falu,400,278,93,25,MOMENTUM,0,0,0,0,0,0
Felsőregmec,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,101,5,95,4,Falu,116,113,2,1,JOBBIK,0,0,0,0,0,0
Felsőszenterzsébet,Zala megye 1. számú egyéni választókerület,14,8,6,5,Falu,13,5,6,2,DK,0,0,0,0,1,1
Felsőszentiván,Bács-Kiskun megye 6. számú egyéni választókerület,935,409,499,211,Falu,935,532,296,64,MOMENTUM,0,0,0,0,0,0
Felsőszentmárton,Baranya megye 4. számú egyéni választókerület,437,194,233,62,Falu,423,295,87,19,DK,0,0,0,0,0,0
Felsőszölnök,Vas megye 3. számú egyéni választókerület,315,93,218,84,Falu,336,246,67,16,LMP,0,0,0,0,0,1
Felsőtárkány,Heves megye 1. számú egyéni választókerület,2003,960,964,778,Falu,2000,990,727,191,DK,0,0,0,0,0,0
Felsőtelekes,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,315,111,192,83,Falu,291,216,49,4,MSZP,0,0,0,0,0,1
Felsőtold,Nógrád megye 1. számú egyéni választókerület,77,38,37,17,Falu,83,38,42,1,DK,0,0,0,0,1,0
Felsővadász,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,183,53,123,34,Falu,204,164,30,3,JOBBIK,0,0,0,0,0,0
Felsőzsolca,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,3545,1846,1581,1392,Kisváros,3530,1929,1242,211,JOBBIK,0,0,0,0,1,0
Fényeslitke,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,1352,507,822,444,Falu,1305,892,306,79,JOBBIK,0,0,0,0,1,1
Fenyőfő,Győr-Moson-Sopron megye 2. számú egyéni választókerület,68,34,33,20,Falu,45,28,12,4,DK,0,0,0,0,0,0
Ferencszállás,Csongrád megye 1. számú egyéni választókerület,349,169,168,40,Falu,348,164,130,20,MSZP,1,0,0,0,1,1
Fertőboz,Győr-Moson-Sopron megye 4. számú egyéni választókerület,177,75,101,32,Falu,174,108,48,11,JOBBIK,0,1,0,0,1,1
Fertőd,Győr-Moson-Sopron megye 4. számú egyéni választókerület,1992,679,1265,358,Falu,1942,1257,499,156,JOBBIK,0,1,0,0,1,1
Fertőendréd,Győr-Moson-Sopron megye 3. számú egyéni választókerület,389,139,247,106,Falu,397,290,63,35,MSZP,0,0,0,0,1,1
Fertőhomok,Győr-Moson-Sopron megye 4. számú egyéni választókerület,453,179,267,91,Falu,532,315,156,45,JOBBIK,0,1,0,0,1,1
Fertőrákos,Győr-Moson-Sopron megye 4. számú egyéni választókerület,1188,581,580,274,Falu,1248,656,463,92,JOBBIK,0,1,0,0,1,1
Fertőszentmiklós,Győr-Moson-Sopron megye 4. számú egyéni választókerület,2349,825,1460,423,Falu,2373,1549,579,219,JOBBIK,0,1,0,0,1,1
Fertőszéplak,Győr-Moson-Sopron megye 4. számú egyéni választókerület,731,235,472,124,Falu,732,508,167,47,JOBBIK,0,1,0,0,1,1
Fiad,Somogy megye 4. számú egyéni választókerület,77,38,39,26,Falu,62,41,17,0,JOBBIK,0,1,0,0,1,1
Filkeháza,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,65,17,45,14,Falu,53,43,9,0,JOBBIK,0,0,0,0,0,0
Fityeház,Zala megye 3. számú egyéni választókerület,354,138,209,108,Falu,371,244,99,18,DK,0,0,0,0,0,0
Foktő,Bács-Kiskun megye 3. számú egyéni választókerület,778,367,399,252,Falu,808,459,251,64,DK,0,0,0,0,0,0
Földeák,Csongrád megye 4. számú egyéni választókerület,1688,607,1045,480,Középváros,11866,5574,4869,643,ÚVNP,0,0,0,0,0,0
Földes,Hajdú-Bihar megye 5. számú egyéni választókerület,2145,867,1221,561,Falu,1705,1042,532,100,MOMENTUM,0,0,0,0,0,0
Folyás,Hajdú-Bihar megye 6. számú egyéni választókerület,128,54,70,33,Falu,134,89,36,2,JOBBIK,0,0,0,0,0,0
Fonó,Somogy megye 4. számú egyéni választókerület,146,68,72,23,Falu,145,89,53,0,JOBBIK,0,1,0,0,1,1
Fony,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,145,78,51,55,Falu,146,105,29,7,JOBBIK,0,0,0,0,0,0
Főnyed,Somogy megye 3. számú egyéni választókerület,39,9,30,7,Falu,2056,1382,496,149,JOBBIK,0,1,0,0,1,1
Fonyód,Somogy megye 3. számú egyéni választókerület,2845,1445,1353,1163,Falu,44,33,11,0,JOBBIK,0,1,0,0,1,1
Forráskút,Csongrád megye 2. számú egyéni választókerület,1151,403,724,111,Kisváros,2903,1418,1257,198,MOMENTUM,0,0,0,0,0,0
Forró,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,1257,350,845,198,Falu,1122,687,279,110,JOBBIK,0,0,0,0,0,0
Fót,Pest megye 5. számú egyéni választókerület,11238,6147,4917,2222,Falu,1209,877,277,32,PÁRBESZÉD,0,0,0,0,1,0
Füle,Fejér megye 2. számú egyéni választókerület,486,224,255,159,Falu,78,46,16,10,JOBBIK,0,1,0,0,1,1
Fülesd,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,261,97,156,58,Falu,521,308,140,42,DK,0,0,0,0,0,0
Fulókércs,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,116,24,80,19,Falu,129,98,25,1,JOBBIK,0,0,0,0,0,0
Fülöp,Hajdú-Bihar megye 3. számú egyéni választókerület,802,226,565,157,Falu,223,152,60,7,JOBBIK,0,0,0,0,0,0
Fülöpháza,Bács-Kiskun megye 1. számú egyéni választókerület,481,184,296,126,Falu,796,609,140,33,DK,0,0,0,0,0,1
Fülöpjakab,Bács-Kiskun megye 4. számú egyéni választókerület,619,169,392,121,Falu,481,299,122,43,LMP,0,0,0,0,0,0
Fülöpszállás,Bács-Kiskun megye 4. számú egyéni választókerület,1061,331,704,183,Falu,651,444,117,64,LMP,0,0,0,0,0,0
Fülpösdaróc,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,168,47,119,39,Falu,1057,739,198,92,JOBBIK,0,0,1,1,0,0
Fürged,Tolna megye 3. számú egyéni választókerület,275,97,166,63,Falu,189,137,32,17,JOBBIK,0,1,0,0,1,1
Furta,Hajdú-Bihar megye 4. számú egyéni választókerület,574,247,311,181,Falu,540,309,130,20,MOMENTUM,0,0,0,0,0,0
Füzér,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,235,93,136,75,Falu,268,186,55,22,JOBBIK,0,0,0,0,0,0
Füzérkajata,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,66,39,21,17,Falu,210,123,52,24,JOBBIK,0,0,0,0,0,0
Füzérkomlós,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,171,70,91,40,Falu,54,29,21,4,JOBBIK,0,0,0,0,0,0
Füzérradvány,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,148,53,91,28,Falu,166,98,44,14,JOBBIK,0,0,0,0,0,0
Füzesabony,Heves megye 1. számú egyéni választókerület,3947,1888,1933,1548,Falu,141,100,33,7,DK,0,0,0,0,0,0
Füzesgyarmat,Békés megye 3. számú egyéni választókerület,2936,1565,1312,886,Kisváros,3671,2091,1172,257,DK,0,0,0,0,0,0
Fűzvölgy,Zala megye 3. számú egyéni választókerület,85,34,48,28,Kisváros,2763,1373,1061,219,DK,0,0,0,0,0,0
Gáborján,Hajdú-Bihar megye 4. számú egyéni választókerület,428,123,297,104,Falu,401,289,51,13,MOMENTUM,0,0,0,0,0,0
